name,batch_id,open,close,volume,item_url
Glove Case,2025-08-03 01:26:08,17.49,17.43,2391,https://steamcommunity.com/market/listings/730/Glove%20Case
Desert Eagle | Mecha Industries (Factory New),2025-08-03 01:26:08,17.78,17.68,33,https://steamcommunity.com/market/listings/730/Desert%20Eagle%20|%20Mecha%20Industries%20(Factory%20New)
M4A4 | Desolate Space (Factory New),2025-08-03 01:26:08,85.99,89.0,4,https://steamcommunity.com/market/listings/730/M4A4%20|%20Desolate%20Space%20(Factory%20New)
Sticker | Team Liquid (Holo) | Paris 2023,2025-08-03 01:26:08,1.99,1.99,234,https://steamcommunity.com/market/listings/730/Sticker%20|%20Team%20Liquid%20(Holo)%20|%20Paris%202023
Operation Broken Fang Case,2025-08-03 01:26:08,13.98,13.98,821,https://steamcommunity.com/market/listings/730/Operation%20Broken%20Fang%20Case
Operation Wildfire Case,2025-08-03 01:26:08,4.9,4.94,1033,https://steamcommunity.com/market/listings/730/Operation%20Wildfire%20Case
AK-47 | Bloodsport (Factory New),2025-08-03 01:26:08,431.25,417.13,8,https://steamcommunity.com/market/listings/730/AK-47%20|%20Bloodsport%20(Factory%20New)
Sticker | FaZe Clan (Holo) | Paris 2023,2025-08-03 01:26:08,2.07,1.85,287,https://steamcommunity.com/market/listings/730/Sticker%20|%20FaZe%20Clan%20(Holo)%20|%20Paris%202023
Sticker | FaZe Clan (Holo) | Paris 2023,2025-08-04 02:58:21,2.03,2.01,187,https://steamcommunity.com/market/listings/730/Sticker%20|%20FaZe%20Clan%20(Holo)%20|%20Paris%202023
Glove Case,2025-08-04 02:58:21,17.25,17.26,2411,https://steamcommunity.com/market/listings/730/Glove%20Case
Sticker | Bolt Energy (Foil),2025-08-04 02:58:21,2.15,2.08,144,https://steamcommunity.com/market/listings/730/Sticker%20|%20Bolt%20Energy%20(Foil)
Dreams & Nightmares Case,2025-08-04 02:58:21,2.35,2.35,74603,https://steamcommunity.com/market/listings/730/Dreams%20&%20Nightmares%20Case
Operation Wildfire Case,2025-08-04 02:58:21,4.89,4.98,1195,https://steamcommunity.com/market/listings/730/Operation%20Wildfire%20Case
Desert Eagle | Printstream (Factory New),2025-08-04 02:58:21,124.0,122.13,17,https://steamcommunity.com/market/listings/730/Desert%20Eagle%20|%20Printstream%20(Factory%20New)
M4A1-S | Decimator (Factory New),2025-08-04 02:58:21,103.0,102.86,10,https://steamcommunity.com/market/listings/730/M4A1-S%20|%20Decimator%20(Factory%20New)
M4A4 | Desolate Space (Factory New),2025-08-04 02:58:21,79.0,77.08,3,https://steamcommunity.com/market/listings/730/M4A4%20|%20Desolate%20Space%20(Factory%20New)
M4A4 | Neo-Noir (Factory New),2025-08-04 02:58:21,106.5,90.39,10,https://steamcommunity.com/market/listings/730/M4A4%20|%20Neo-Noir%20(Factory%20New)
Sticker | Taste Buddy (Holo),2025-08-04 02:58:21,5.32,5.22,293,https://steamcommunity.com/market/listings/730/Sticker%20|%20Taste%20Buddy%20(Holo)
Sticker | Team Liquid (Holo) | Paris 2023,2025-08-04 02:58:21,1.98,1.97,484,https://steamcommunity.com/market/listings/730/Sticker%20|%20Team%20Liquid%20(Holo)%20|%20Paris%202023
AK-47 | Bloodsport (Factory New),2025-08-04 02:58:21,431.54,426.48,9,https://steamcommunity.com/market/listings/730/AK-47%20|%20Bloodsport%20(Factory%20New)
AWP | Hyper Beast (Factory New),2025-08-04 02:58:21,186.78,176.57,7,https://steamcommunity.com/market/listings/730/AWP%20|%20Hyper%20Beast%20(Factory%20New)
Sticker | Hypnoteyes (Holo),2025-08-04 02:58:21,1.3,1.29,243,https://steamcommunity.com/market/listings/730/Sticker%20|%20Hypnoteyes%20(Holo)
AK-47 | Asiimov (Factory New),2025-08-04 02:58:21,362.32,351.99,1,https://steamcommunity.com/market/listings/730/AK-47%20|%20Asiimov%20(Factory%20New)
Desert Eagle | Mecha Industries (Factory New),2025-08-04 02:58:21,17.76,17.9,37,https://steamcommunity.com/market/listings/730/Desert%20Eagle%20|%20Mecha%20Industries%20(Factory%20New)
M4A1-S | Leaded Glass (Factory New),2025-08-04 02:58:21,47.15,44.67,25,https://steamcommunity.com/market/listings/730/M4A1-S%20|%20Leaded%20Glass%20(Factory%20New)
Operation Broken Fang Case,2025-08-04 02:58:21,13.96,13.74,443,https://steamcommunity.com/market/listings/730/Operation%20Broken%20Fang%20Case
Operation Riptide Case,2025-08-04 02:58:21,19.93,20.05,202,https://steamcommunity.com/market/listings/730/Operation%20Riptide%20Case
M4A4 | 龍王 (Dragon King) (Factory New),2025-08-04 02:58:21,76.27,74.89,9,https://steamcommunity.com/market/listings/730/M4A4%20|%20龍王%20(Dragon%20King)%20(Factory%20New)
Operation Broken Fang Case,2025-08-05 12:38:02,14.12,14.12,509,https://steamcommunity.com/market/listings/730/Operation%20Broken%20Fang%20Case
M4A4 | Neo-Noir (Factory New),2025-08-05 12:38:02,106.74,106.28,2,https://steamcommunity.com/market/listings/730/M4A4%20|%20Neo-Noir%20(Factory%20New)
